X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y
74647,185998.9,18200,101.8,100.8,103823,88774,2877854,20627.1,116921.8,44001,31649.29
74978,219028.5,20856,101.5,101,116197,109998,34804.35,24262.3,140974.7,41473,38760.2
75321,270704.0,24721,104.8,103.8,136025,137324,45621.97,29471.5,166924.1,37871,51321.78
75564,321229.5,28898,105.9,105.9,155494,172828,5422379,35289.5,179921.5,27514,61330.35
75828,347934.9,32244,99.3,98.8,169005,224599,5952159,40288.2,150648.1,23435,68518.30
76105,410354.1,36539,103.3,103.1,187791,278122,7321079,47269.9,201722.3,27406,83101.51
76420,483392.8,41799,105.4,104.9,214269,311485,8973839,59954.7,236402.0,27712,103874.43
76704,537329.0,46769,102.6,102,241267,374695,10061428,70914.2,244160.2,24925,117253.52
76977,588141.2,51483,102.6,101.4,264670,446294,11053070,93064.3,258168.9,22773,129209.64
77253,644380.2,56360,102,101,288439,512021,11917531,102817.2,264241.8,23778,140370.03
77451,686255.7,62029,101.4,100.1,311948,562000,12492220,112007.8,245502.9,26575,152269.23
77603,743408.3,67569,102,100.7,336162,606466,13036073,120074.8,243386.5,27900,159604.97
77640,831381.2,74318,101.6,101.1,363962,641238,14436987,129889.1,278099.2,35652,172592.77
77586,914327.1,82413,102.1,101.9,392508,645675,15640286,141480,305008.1,60533,183359.84
77471,988528.9,90501,102.9,102,423588,560874,15800046,154296.1,315627.3,40888,190390.08